sample	coverage	taxonomy
SRR9841429	15.13	Root; d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Longimicrobiales; f__UBA6960; g__Bin94; s__Bin94 sp009844885
SRR9841429	1.64	Root; d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__Longimicrobiales; f__UBA6960; g__BD2-11; s__BD2-11 sp009840525
SRR9841429	1.42	Root; d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__KS3-K002; f__JABDQB01; g__JAAXHJ01; s__JAAXHJ01 sp009841005
SRR9841429	3.98	Root; d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes; o__KS3-K002; f__JABDQB01; g__JAAXHJ01; s__JAAXHJ01 sp009841015
SRR9841429	1.08	Root; d__Bacteria; p__JAAXHH01; c__JAAXHH01; o__JAAXHH01; f__JAAXHH01; g__JAAXHH01; s__JAAXHH01 sp022821085
SRR9841429	1.65	Root; d__Bacteria; p__JAAXHH01; c__JAAXHH01; o__JAAXHH01; f__JAAXHH01; g__JAAXHH01; s__JAAXHH01 sp009837395
SRR9841429	0.46	Root; d__Bacteria; p__JAAXHH01; c__JAAXHH01; o__JAAXHH01; f__JAAXHH01; g__JAAXHH01; s__JAAXHH01 sp009835325
SRR9841429	11.86	Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Bin61; f__Bin61; g__Bin61; s__Bin61 sp009840635
SRR9841429	6.48	Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__UBA5704; f__QQVD01; g__WTGL01; s__WTGL01 sp009837085
SRR9841429	2.41	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__VXMN01; f__VXMN01; g__VXMN01; s__VXMN01 sp009841055
SRR9841429	0.52	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales; f__UBA6623; g__VXMF01; s__VXMF01 sp009838515
SRR9841429	0.91	Root; d__Bacteria; p__Latescibacterota; c__UBA2968; o__UBA8231; f__UBA8231; g__GCA-2724215; s__GCA-2724215 sp009840005
SRR9841429	2.68	Root; d__Bacteria; p__Latescibacterota; c__UBA2968; o__UBA2968; f__UBA2968; g__VXRD01; s__VXRD01 sp009838845
SRR9841429	5.28	Root; d__Bacteria; p__Nitrospirota; c__Nitrospiria; o__Nitrospirales; f__UBA8639; g__Bin75; s__Bin75 sp009840285
SRR9841429	0.81	Root; d__Bacteria; p__Nitrospirota; c__Nitrospiria; o__Nitrospirales; f__UBA8639; g__Bin75; s__Bin75 sp009842645
SRR9841429	5.57	Root; d__Bacteria; p__Desulfobacterota_D; c__UBA1144; o__RKRQ01; f__RKRQ01; g__RKRQ01; s__RKRQ01 sp009837205
