sample	coverage	taxonomy
ERR1914274	0.54	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Peptostreptococcaceae; g__Peptacetobacter; s__Peptacetobacter sp900539645
ERR1914274	17.67	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Alloprevotella; s__Alloprevotella sp000437675
ERR1914274	29.4	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Prevotella; s__Prevotella sp934191715
ERR1914274	59.96	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Prevotella; s__Prevotella copri_B
ERR1914274	31.81	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Prevotella; s__Prevotella sp015074785
ERR1914274	7.9	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Phocaeicola; s__Phocaeicola sp900546645
ERR1914274	1.23	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides sp900766005
ERR1914274	3.13	Root; d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium_B; s__Fusobacterium_B sp900541465
ERR1914274	7.63	Root; d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium_B; s__Fusobacterium_B sp900554885
ERR1914274	0.69	Root; d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium_A; s__Fusobacterium_A varium_C
ERR1914274	2.15	Root; d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium_A; s__Fusobacterium_A sp900543175
ERR1914274	2.15	Root; d__Bacteria; p__Fusobacteriota; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium_A; s__Fusobacterium_A sp900555845
ERR1914274	0.84	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Allobaculum; s__Allobaculum stercoricanis
ERR1914274	1.1	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Holdemanella; s__Holdemanella porci_A
ERR1914274	2.47	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Erysipelotrichales; f__Coprobacillaceae; g__Catenibacterium; s__Catenibacterium sp000437715
ERR1914274	1.23	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes; o__Selenomonadales; f__Selenomonadaceae; g__Megamonas; s__Megamonas funiformis
SRR9841429	1.28	Root; d__Archaea
SRR9841429	5.61	Root; d__Bacteria
SRR9841429	0.74	Root; d__Archaea; p__Thermoproteota
SRR9841429	0.24	Root; d__Bacteria; p__Actinomycetota
SRR9841429	0.66	Root; d__Bacteria; p__Pseudomonadota
SRR9841429	0.24	Root; d__Bacteria; p__Bacteroidota
SRR9841429	0.89	Root; d__Bacteria; p__Chloroflexota
SRR9841429	1.05	Root; d__Bacteria; p__Acidobacteriota
SRR9841429	0.12	Root; d__Bacteria; p__Patescibacteria
SRR9841429	4.53	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
SRR9841429	2.32	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
SRR9841429	2.28	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia
SRR9841429	0.3	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae
SRR9841429	0.15	Root; d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes
SRR9841429	0.19	Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria
SRR9841429	0.62	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia
SRR9841429	0.33	Root; d__Bacteria; p__Latescibacterota; c__UBA2968
SRR9841429	0.28	Root; d__Bacteria; p__Desulfobacterota_B; c__Binatia
SRR9841429	1.48	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia; o__Acidimicrobiales
SRR9841429	0.5	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia; o__UBA5794
SRR9841429	0.23	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Arenicellales
SRR9841429	0.11	Root; d__Bacteria; p__Poribacteria; c__WGA-4E; o__WGA-4E
SRR9841429	0.63	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__SAR202
SRR9841429	0.25	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales
SRR9841429	0.05	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrosopumilaceae
SRR9841429	0.09	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia; o__Acidimicrobiales; f__UBA11606
SRR9841429	0.28	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Arenicellales; f__LS-SOB
SRR9841429	0.54	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__HTCC2089
SRR9841429	0.46	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__HK1; f__HK1
SRR9841429	0.07	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__UBA4486; f__UBA4486
SRR9841429	0.44	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae
SRR9841429	0.42	Root; d__Bacteria; p__Poribacteria; c__WGA-4E; o__WGA-4E; f__WGA-3G
SRR9841429	0.85	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__UBA2979; f__UBA2979
SRR9841429	0.06	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__Tepidiformales; f__Tepidiformaceae
SRR9841429	0.69	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__UBA3495; f__UBA3495
SRR9841429	0.5	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__SAR202; f__UBA11138
SRR9841429	0.06	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__UBA2963; f__UBA2963
SRR9841429	0.15	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia; o__Bin125; f__Bin125
SRR9841429	0.14	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae; o__Caldilineales; f__Caldilineaceae
SRR9841429	0.34	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae; o__Aggregatilineales; f__Phototrophicaceae
